@relation TWS-3D-v3.3.1-grayscale

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute class {Cell,Background,Garbage}

@data
255,232.908401,0.959535,4.401037,-8.716602,-99.657738,183.005341,172.174561,0.849445,-0.044479,0.005642,-0.021162,-0.010912,108.969421,0.06613,-0.001145,-0.00009,0.000003,0,60.991894,0.002424,-0.00004,-0,0,0,Cell
255,211.805283,1.153564,-0.856597,5.379652,81.225784,-193.440308,164.477921,0.852275,-0.025524,0.012979,-0.021173,-0.020312,105.929901,0.050205,-0.001346,-0.000076,0.000002,0,59.756382,0.001749,-0.000041,-0,0,0,Cell
176,159.667343,3.076674,-3.623027,10.983445,-0.276126,-42.502472,144.9487,0.540041,-0.001588,-0.003557,0.005394,0.008131,100.803024,0.027774,-0.001258,-0.000045,0.000001,0,58.248615,0.000891,-0.00004,-0,0,0,Cell
108,97.669975,-0.119315,-1.57582,14.662634,-19.828526,-299.508392,78.063126,0.163648,-0.035626,-0.009667,0.00277,-0.004206,59.773392,-0.034508,-0.001303,-0.000022,0.000005,0.000001,51.587521,-0.012373,-0.000001,0,-0,-0,Cell
200,127.228203,0.380549,-4.650516,-4.709298,20.152729,225.653122,89.972839,-0.01008,-0.105719,-0.009522,0.02,0.003061,65.811668,-0.034447,-0.001444,-0.000005,0.000006,0.000001,53.164124,-0.011641,-0.000003,0,-0,-0,Cell
186,135.259857,0.739186,-1.267801,-12.850711,62.516666,31.932512,100.125679,-0.281684,-0.114474,-0.005468,0.015397,0.009651,71.640854,-0.033009,-0.001458,0.000021,0.000006,0,54.777489,-0.010585,-0.000004,0,-0,-0,Cell
112,124.053154,-2.036984,2.112063,13.818235,-205.600342,-229.472839,108.170692,-0.581021,-0.06164,0.009205,0.001846,-0.002618,77.024925,-0.029445,-0.001321,0.000049,0.000005,-0.000001,56.395142,-0.00926,-0.000006,0,-0,-0,Cell
104,121.544479,-4.323993,0.514523,-3.203171,214.885864,156.834778,114.221817,-0.8002,-0.006827,0.027649,0.002059,-0.014668,81.800896,-0.023157,-0.001005,0.000069,0.000003,-0.000001,57.980606,-0.007733,-0.000009,0,-0,-0,Cell
127,134.701965,-5.695661,0.408329,-9.902901,-97.167168,176.854126,117.345055,-0.804565,0.011239,0.032086,0.008515,-0.004421,85.919518,-0.013943,-0.000498,0.000075,0.000001,-0.000001,59.494583,-0.006081,-0.000011,-0,-0,-0,Cell
157,138.755203,-3.012754,-0.108866,9.557109,-96.204659,-278.144165,115.66954,-0.517102,0.009359,0.015807,0.001879,0.010772,89.472763,-0.002133,0.00018,0.000064,-0.000001,-0.000001,60.896111,-0.004385,-0.000014,-0,-0,-0,Cell
105,118.502495,1.437465,-0.477105,2.055782,142.034668,0.284465,108.572357,-0.026776,0.014669,-0.008682,-0.008794,0.00567,92.682297,0.011469,0.000945,0.000042,-0.000003,-0,62.143444,-0.002725,-0.000018,-0,-0,-0,Cell
78,90.008766,2.790274,-0.396443,-1.594915,-48.582481,172.653488,98.436211,0.42728,0.029796,-0.026442,-0.005486,-0.005473,95.837929,0.025821,0.001657,0.000015,-0.000005,0,63.196167,-0.001179,-0.000021,-0,-0,-0,Cell
80,71.965454,2.891652,-1.276856,0.722425,107.470345,-164.165802,90.076813,0.62633,0.047215,-0.030148,0.001729,0.001597,99.190308,0.039891,0.002138,-0.000009,-0.000006,0.000001,64.017586,0.000184,-0.000025,-0,-0,0,Cell
63,65.359787,2.761948,0.408509,-6.612592,-129.169327,197.012634,88.52005,0.534258,0.062678,-0.014001,-0.005413,0.009094,102.819405,0.052797,0.002235,-0.000027,-0.000007,0.000001,64.575485,0.001305,-0.000029,-0,-0,0,Cell
